cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
ASASSN-14ad,0.026392,0.026481,0.026407,0.026427,0.026464,0.000196,0.027528,
ASASSN-14lp,0.005011,0.005064,0.005031,0.005035,0.005088,0.000192,0.006224,
ASASSN-14fd,0.015887,0.015959,0.015923,0.015923,0.016005,0.000194,0.016972,
ASASSN-14cu,0.024590,0.024628,0.024961,0.024727,0.024822,0.000266,0.025937,
ASASSN-14li,0.020549,0.020604,0.020597,0.020583,0.020668,0.000192,0.021712,
ASASSN-14kr,0.012978,0.013050,0.013010,0.013013,0.013066,0.000194,0.014200,
ASASSN-13an,0.024222,0.024290,0.024224,0.024245,0.024278,0.000193,0.025276,
ASASSN-14bf,0.022430,0.022469,0.022357,0.022419,0.022439,0.000198,0.023289,
ASASSN-15ab,0.017628,0.017700,0.017635,0.017654,0.017746,0.000194,0.018560,
ASASSN-14lu,0.027236,0.027262,0.027255,0.027251,0.027288,0.000191,0.028193,
ASASSN-14eu,0.023048,0.023041,0.023042,0.023044,0.023107,0.000190,0.023798,
ASASSN-14dz,0.022246,0.022307,0.022405,0.022320,0.022367,0.000206,0.022974,
ASASSN-13cp,0.023436,0.023613,0.023475,0.023508,0.023552,0.000210,0.023984,
ASASSN-14co,0.033221,0.033321,0.033375,0.033306,0.033372,0.000205,0.033775,
ASASSN-13ch,0.016461,0.016480,0.016463,0.016468,0.016543,0.000191,0.016844,
ASASSN-13cj,0.016509,0.016369,0.016515,0.016464,0.016536,0.000204,0.016819,
ASASSN-14at,0.010361,0.010384,0.010363,0.010370,0.010443,0.000191,0.010175,
ASASSN-14jz,0.015736,0.015842,0.015799,0.015792,0.015870,0.000198,0.015695,
ASASSN-14iz,0.019246,0.019309,0.019153,0.019236,0.019327,0.000206,0.018618,
ASASSN-14ew,0.019667,0.019698,0.019681,0.019682,0.019763,0.000191,0.019312,
ASASSN-14db,0.037361,0.037387,0.037387,0.037378,0.037435,0.000191,0.037167,
ASASSN-14jb,0.006001,0.006054,0.006005,0.006020,0.005924,0.000192,0.004941,
ASASSN-14lv,0.049245,0.049336,0.049263,0.049281,0.049216,0.000196,0.048356,
ASASSN-14jg,0.014791,0.014855,0.014773,0.014806,0.014743,0.000195,0.014266,
ASASSN-14kq,0.033721,0.033762,0.033753,0.033746,0.033677,0.000192,0.032664,
SN2008dh,0.037684,0.037819,0.037755,0.037752,0.037845,0.000202,0.036689,
SN2012hd,0.011996,0.012093,0.012028,0.012039,0.012105,0.000196,0.011286,
SN2009le,0.017871,0.017866,0.017867,0.017868,0.017949,0.000190,0.017189,
SN2007gj,0.016901,0.016924,0.016948,0.016924,0.016985,0.000192,0.016405,
SN2010A,0.020715,0.020785,0.020720,0.020740,0.020836,0.000194,0.020031,
SN2008J,0.016022,0.016091,0.016048,0.016054,0.016144,0.000194,0.015394,
SN2009ig,0.008775,0.008807,0.009017,0.008867,0.008955,0.000226,0.008188,
PTF12iiq,0.029868,0.029634,0.029761,0.029754,0.029848,0.000224,0.029115,
SN2001el,0.003702,0.003650,0.003656,0.003669,0.003716,0.000192,0.003496,
PTF12jgb,0.028211,0.028254,0.028222,0.028229,0.028302,0.000192,0.028043,
SN2008V,0.013761,0.013790,0.013806,0.013786,0.013853,0.000192,0.013716,
SN2007rz,0.012752,0.012812,0.012796,0.012787,0.012882,0.000193,0.012643,
SN2009K,0.011639,0.011657,0.011658,0.011651,0.011742,0.000191,0.011551,
SN2004ff,0.022488,0.022481,0.022530,0.022500,0.022570,0.000192,0.022559,
SN2005gn,0.039996,0.040033,0.040057,0.040029,0.040088,0.000193,0.040339,
SN2012hr,nan,nan,nan,0.008000,0.007989,0.001000,0.008307,
SN2008fp,0.005314,0.005383,0.005385,0.005361,0.005298,0.000194,0.005929,
SN2008ia,0.022292,0.022154,0.022296,0.022248,0.022234,0.000203,0.022861,
LSQ12hzj,0.033419,0.033418,0.033449,0.033429,0.033350,0.000191,0.034566,
SN2009dq,0.004613,0.004600,0.004579,0.004597,0.004598,0.000191,0.005201,
SN2010ev,0.009143,0.009237,0.009238,0.009206,0.009176,0.000196,0.010206,
SN2005Z,0.019141,0.019268,0.019245,0.019218,0.019122,0.000201,0.020217,
SN2012ht,0.003493,0.003489,0.003492,0.003491,0.003410,0.000190,0.004543,
SN2005lw,0.025820,0.025820,0.025820,0.025820,0.025761,0.000190,0.027026,
SN2009ds,0.019123,0.019188,0.018730,0.019014,0.018918,0.000298,0.020162,
SN2004aw,0.015823,0.015810,0.015812,0.015815,0.015729,0.000191,0.016770,
SN2007sr,nan,nan,nan,0.005417,0.005378,0.001000,0.006568,
SN2006X,nan,nan,nan,0.005240,0.005158,0.001000,0.006249,
