sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
SN2004gt,Antennae,180.45987916666667,-18.87018888888889,Ibc     ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO --,hst_14593_02_wfc3_uvis_f275w_id7802,NGC-4038,14593,"Bastian, Nate",WFC3/UVIS,F275W,58.30499722021828,2610.0,3,57931.61533704,57931.64864721,
SN2005P,SN2018dfg,211.6417083333333,-5.461830555555555,Ia-02cx ,P103 ,NO LC ,iebjce010,SN2018DFG-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,28.18522414914022,1800.0,3,59261.90991415509,59261.93557357639,A public UV snapshot survey of core-collapse supernova hosts in IF
SN2005Z,SN2005Z,161.28824999999998,22.07731111111111,II      ,P97  ,,hst_16287_21_wfc3_uvis_f275w_iebj21,SN2005Z-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,5.801998348929438,1650.0,3,59274.34697415,59274.3704232,
SN2005at,SN2005at,287.4732083333333,-63.823,Ic      ,HK   ,COMBINED 20 POINTINGS,icdm0e030,NGC6744-1,13364,"Calzetti, Daniela",WFC3/UVIS,F275W,68.94681871324465,2403.0,3,56863.98282951389,56864.01376674769,LEGUS: Legacy ExtraGalactic UV Survey
SN2006be,SN2006be,236.4125,28.08866944444444,II      ,P97  ,MUSE-DEEP JOINING 8 POINTINGS,hst_16287_30_wfc3_uvis_f275w_iebj30,SN2006BE-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,5.197480249054175,1650.0,3,59427.45910081,59427.48254986,
SN2006ca,SN2006ca,275.7256208333333,12.434219444444444,II      ,P97  ,,hst_16287_34_wfc3_uvis_f275w_iebj34,SN2006CA-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,19.459542404774414,1650.0,3,59358.89694025,59358.9203893,
SN2006cx,SN2016hvu,338.9852083333333,20.321416666666668,II      ,P103 ,,hst_16287_dc_wfc3_uvis_f275w_iebjdc,SN2016HVU-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,3.885586587815154,1650.0,3,59150.45955126,59150.48300031,
SN2006fo,SN2010A,38.16204166666666,0.6175,Ic      ,P97  ,,hst_16287_13_wfc3_uvis_f275w_iebj13,SN2010A-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,6.1373249049771745,1650.0,3,59127.96308126,59127.98653031,
SN2006ov,NGC4303,185.4804208333333,4.4879694444444445,II      ,arx  ,,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,,,WFC3/UVIS,F275W,67.36015134174343,3048.0,3,57812.13591229,58937.87605003,
SN2007rz,SN2007rz,67.79517083333333,7.630969444444445,Ic      ,P97  ,,hst_16287_15_wfc3_uvis_f275w_iebj15,SN2007RZ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,9.147564917135918,1650.0,3,59239.51196197,59239.53541102,
SN2008aq,SN2008aq,192.62675,-10.867061111111111,IIb     ,P97  ,,hst_16287_26_wfc3_uvis_f275w_iebj26,SN2008AQ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,10.867460668867144,1500.0,3,59316.85303808,59316.87361676,
