Supernova,ra_deg,dec_deg,survey,local_fits,fits_path,live_checked,live_available,live_message
CSP13aaq,64.94670833333333,-63.72278888888889,DES,True,outputs/images/CSP13aaq/DES/DES_r.fits,False,,
CSP13aaq,64.94670833333333,-63.72278888888889,PanSTARRS,False,,True,False,empty
CSP13aaq,64.94670833333333,-63.72278888888889,SkyMapper,True,outputs/images/CSP13aaq/SkyMapper/SkyMapper_r.fits,False,,
CSP13aay,51.38962499999999,-53.73861111111111,LegacySurvey,True,outputs/images/CSP13aay/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13aay,51.38962499999999,-53.73861111111111,DES,True,outputs/images/CSP13aay/DES/DES_r.fits,False,,
CSP13aay,51.38962499999999,-53.73861111111111,PanSTARRS,False,,True,False,empty
CSP13aay,51.38962499999999,-53.73861111111111,SkyMapper,True,outputs/images/CSP13aay/SkyMapper/SkyMapper_r.fits,False,,
CSP13abl,99.52904166666664,-75.72700277777778,LegacySurvey,True,outputs/images/CSP13abl/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13abl,99.52904166666664,-75.72700277777778,DES,False,,True,False,empty
CSP13abl,99.52904166666664,-75.72700277777778,PanSTARRS,False,,True,False,empty
CSP13abl,99.52904166666664,-75.72700277777778,SkyMapper,False,,True,True,ok
CSP13abm,46.499541666666666,4.543944444444445,LegacySurvey,True,outputs/images/CSP13abm/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13abm,46.499541666666666,4.543944444444445,DES,False,,True,False,empty
CSP13abm,46.499541666666666,4.543944444444445,PanSTARRS,True,outputs/images/CSP13abm/PanSTARRS/PanSTARRS_r.fits,False,,
CSP13abm,46.499541666666666,4.543944444444445,SkyMapper,True,outputs/images/CSP13abm/SkyMapper/SkyMapper_r.fits,False,,
